,title,company,salary,summary,location
22,Data Scientist Sénior H/F,Segula Technologies,,"Segula Technologies est un groupe d'ingénierie présent mondialement, au service de la compétitivité de tous les grands secteurs industriels : automobile...",
23,Data Scientist - Statisticien H/F,Crédit Agricole Centre-Est,35k € a 50k €/an,"...développement.""Le Crédit Agricole Centre Est recrute en CDD (12 mois) un Data Scientist/statisticien pour son pôle spécialisé ""Utilisateurs Crédit""Le...",
24,Data Scientist Alternance H/F,Data ScienceTech Institute,,"Data ScienceTech Institute (DSTI) a été créé avec une ambition principale...  ...Analyst, Data Engineer et Data Scientist opérationnels, en offrant les programmes...",
25,Alternant Data Scientist H/F,FACTOFRANCE SAS,18k € a 23k €/an,"...""Gouvernance et Valorisation de la donnée"" recherche un alternant Data Scientist pour étoffer son équipe d'analystes et répondre aux besoins d'analyses...",
26,Alternance - Data Scientist H/F,BPCE SA,,"...stratégiques du Groupe.Poste et missionsRejoignez BPCE en tant que Data Scientist pour une alternance à partir de Septembre 2023 !Les missions c'...",
27,Alternance - Data Scientist H/F,Crédit Agricole d'Ile de France,,"...Crédit Agricole d'Ile-de-France vous propose une alternance en tant que Data Scientist (H/F), poste basé à Paris 12ème avec la possibilité de télétravail....",
28,Data Scientist - Alternance H/F,AUTOMOTIVE CELLS COMPANY - ACC,,"...hear from you.Accelerating sustainable mobility for all.The Data Scientist is directly in charge of analysis requested by any department.He/...",
29,Alternance Data Scientist H/F,ENGIE,,"...moins et mieux.Nous sommes à la recherche d'un(e) alternant(e) Data Scientist pour rejoindre nos équipes, pendant 12 mois, à partir de Septembre...",
30,Informatique - Data Scientist H/F,Eram Interservices,,"...!La Direction des Systèmes d'Information du Groupe recrute son Data ScientistDepuis 1927, le Groupe Eram, groupe familial français, diffuse à...",
31,Data Scientist Expérimenté H/F,EY,,"...Au sein de Technology Consulting, Data & Analytics renforce ses équipes....  ...cette année.Vous êtes Data Scientist, dataminer, architecte Big Data,...",
32,Data Scientist Marketing H/F,Servier,,...avec un objectif clair de devenir « best in class Digital Performer ». La Data Factory joue un rôle central dans cette ambition et a un impact fort à...,
33,Data Scientist - Lille H/F,Otteo,38k € a 45k €/an,"OTTEO ?C'est une société de conseil et un cabinet de recrutement. Eh oui, « une de plus », mais attendez, on vous en dit davantage !SI on devait...",
34,Data Scientist International H/F,Crédit Agricole Assurances,,"...Actuariat et ALM International, organisé en trois pôles (Vie, Non Vie, Data & Modèles) porte les missions suivantes :- L'accompagnement des entités...",
35,Alternance Data Scientist H/F,Servier,,"...in class Digital Performer ». La Data Factory joue un rôle central dans...  ...compétences clefs en central : data scientists, data engineers, data analysts,...",
36,Assistant Data Scientist Alternance H/F,Kärcher SAS,,"...le cadre de son développement, Kärcher recherche un(e) :Assistant Data Scientist H/F en Alternance sur Bonneuil-sur-MarneRattaché(e) au...",
37,Alternant Data Scientist H/F,Carrefour,,"...des Services Financiers et marchands recrute un(e) :Alternant Data Scientist (F/H)Les missions :Le candidat sera intégré à l'équipe DataLab...",
38,Alternance- Data Scientist H/F,ENGIE,,"...standards to improve Commercial Excellence and Customer Focus.As Data scientist, you will report to the Head of Commercial Oversight and Marketing....",
39,Technical Leader Data Scientist H/F,Safran,,"...dans 9 pays à travers le monde.La data science est au coeur de la...  ...encadrer techniquement les jeunes data scientist de l'équipe sur leur projet, d'...",
40,Data Scientist CRM en Alternance H/F,MyDigitalSchool Toulouse,,"...recherche pour une entreprise partenaire basée à Perpignan (66) un Data Scientist CRM en alternance (H/F).Pour réaliser cette alternance vous intégrerez...",
41,Senior Data Scientist R&D H/F,Servier,,"...in class Digital Performer ». La Data Factory joue un rôle central dans...  ...professionnelle en tant que Data Scientist.Vos compétences :Techniques...",
42,Data Scientist Confirmé-e - Services H/F,Safran,,"...marché, et de la prévision de la demande, entre autres.En tant que Data Scientist dans le domaine de services, vous aurez comme mission principale de...",
43,Chef de Projet Forecasting - Data Scientist H/F,Eni Gas & Power France,,"ENI est un groupe international italien d'hydrocarbure. Présent dans 69 pays, il fait travailler 33000 collaborateurs pour un CA de 80 milliards d'Euros...",
44,Alternance - Data-Scientist Marketing Niort H/F,MAIF,,"...siège social se situe à Niort, recrute un alternant sur un poste de Data Scientist au sein de l'entité Data et Performance Marketing de la direction...",
45,Data Scientist H/F,Harry Hope,,"...géographique.Le cabinet recherche pour le compte de son client un(e) Data Scientist.Votre rôle·Traiter les données, structurées ou non...",
46,Data Scientist H/F,Abylsen,,"...Technologies Rhône-Alpes Auvergne Bourgogne), nous recherchons un Data scientist (H/F), pour intégrer notre équipe de consultants et apporter votre...",
47,Data Scientist H/F,Pro à Pro,,"...équipe « Connaissance et Expérience Client », nous recrutons un(e) Data Scientist qui aura pour mission principale d'exploiter les données clients et...",
48,Alt - Data Scientist - Analyst Pôle Comptabilité H/F,Orano,,"...ORANO et plus particulièrement au sein du Pôle DATA et ANALYSE du CSP comptabilité, l'alternant Data Scientist/Analyst aura pour mission de permettre une...",
49,DATA SCIENTIST (H/F),Enedis,400 €,"...différentes activités de l'agence- Vous mettez en place d'outils d'analyse des data collectées pour améliorer les modèles de maintenance, en créer de...",
50,DATA SCIENTIST - ALTERNANCE (H/F),OpenClassrooms,,...72 pays. Nous recherchons un profil motivé pour occuper le poste de Data Scientist - Alternance H/F pour une de nos entreprises partenaires (grande...,
51,Data Scientist (H/F),Nextgen RH,,"...Profil recherché    Diplômé(e) d'une formation supérieure de Data Scientist, vous avez une réelle appétence et connaissance de l'agronomie. Vous...",
52,Data scientist (F/H),SocialClean,,"...concurrentiel significatif.  Notre équipe est composée de professionnels de la data expérimentés, qui possèdent une expertise approfondie en matière d'...",
53,Data scientist (H/F),CRIT NAT,,Vos missions: Prendre en charge les demandes ou sollicitations de bout en bout Communiquer et échanger avec les fournisseurs et les clients internes...,
54,Data Scientist H/F,Lynx RH,40k € a 50k €/an,"Le cabinet Lynx RH recherche pour l'un de ses clients un Data Scientist H/F pour l'un de ses clients sur NantesVos missionsEn tant que Data Scientist...",
55,Data scientist F/H - H/F,aeroemploiformation.com,,Voir la fiche métier :,
56,Data Scientist H/F,Manpower,35k € a 45k €/an,"...Cabinet de Recrutement Manpower Charente recherche pour son client un(e) Data Ingénieur (H/F).  Notre client est spécialisé dans le développement...",
57,Data Scientist F/H,SNCF,,"...Description du poste SNCF recherche un                         Data Scientist F/H  , en CDI, en Ile de France                     Activités spécifiques...",
58,Data scientist,SNEF,45k € a 57k €/an,"...ailleurs, vous interviendrez sur les différentes composantes de nos projets de Data Science et ML sur AWS tel que :- Evaluation des besoins clients et...",
59,Data Scientist,Isalys,38k € a 60k €/an,"...Sciences et de l'Industrie.Nous recherchons à renforcer nos équipes de Data Scientist pour rejoindre notre Digital Lab.Vous êtes sensibilisés aux...",
60,Data Scientist H/F,Inetum,,"...renforçons notre équipe de spécialistes Data à Grenoble.Tant dans l'objectif...  ...Vous êtes Data Engineer ou Data Scientist ? Avec ou sans expérience...",
61,Data Scientist H/F,Reboot Conseil,35k € a 50k €/an,"...mondial de la pharmacie et de la chimie.Il est à la recherche d'un/e Data Scientist pour la modélisation AI/ML des process de biotechnologie.Vos...",
62,Data Scientist H/F,Margo,,"...principalement sur des sujets de coding et data, et sur des problématiques...  ...Marketing.En tant que Data Scientist, vos missions seront :-...",
63,Data Scientist - H/F,Acedigitale,,"...interne chez un client final Lyonnais,  ACE DIGITALe  recherche un  Data Scientist – H/F.  Ce poste est rattaché à  ACE DIGITALe–IT  . Notre métier...",
64,Data Scientist F/H,Orano,,"...dans d’autres industries Les sujets sont pilotés par le Chef de projets Data Science OP en coordination avec le Référent IA OP.    Les...",
65,Data Scientist H/F,Crédit Agricole Group,,"...Marketing Communication Digital et Data (120 personnes) elle a pour...  ...rejoindrez est composée de 4 Data Scientist et 3 Data Analyst.  Vos missions...",
66,Data Scientist H/F,Société Générale Algérie,,"...puissent facilement être déployé à l'échelle.- Elaborer, en lien avec le Data Designer, les outils nécessaires à la collecte des données dans l'...",
67,Data Scientist H/F,Generali,,"Data scientist - H/FRéférence : 8723CDI DUREE INDETERMINEENANTESGeneraliAvec plus de 67 millions de clients et un chiffre d'affaires...",
68,Data scientist,HYVIA,39k € a 44k €/an,"LE POSTEMissions :Chez HYVIA, vous jouez à la fois le rôle de data scientist et le rôle de data analyste, ce qui fait la richesse du poste ! Vous pouvez...",
69,Data scientist,SYNERGIE*,35k € a 40k €/an,"Notre client, fournisseur d'énergie, recherche un(e) data scientist F/H en CDI. Poste à pourvoir rapidement. Vos principales missions en tant que Data...",
70,Data Scientist,Pasteque.Io,,"...vente de produits personnalisés &##128525;Et ils recherchent un Data Scientist pour accélérer leur croissance et rejoindre leur belle équipe !Pour...",
71,Data Scientist,Comcast,,"Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing...",
72,Data Scientist (H/F),NONSTOP CONSULTING,,"...Description de l'offre :  Data Scientist - Rejoignez une entreprise financière leader dans les technologies (Aix-en-Provence)Notre client, une...",
73,Data Scientist H/F,Reactis Services,,"...Contexte :Agylis continue d'agrandir son équipe BigData, autour de la Data Science. L'un de nos clients dans le domaine du Retail/Luxe,...",
74,Data Scientist H/F,PERSUADERS RH,,"...nos clients, une société spécialisée en e-santé, nous recherchons un Data Scientist. Structure en croissance rapide ayant développé un logiciel...",
75,Data Scientist H/F,Swiss Life,,"...environnementAu sein de l'équipe Data Science & Intelligence...  ...Stratégique & Innovation, composée de data scientists, data analysts, et MOA data...",
76,Ingénieur Data Scientist F/H,Orano,,"...Au sein du pôle Procédés et Data, le service Data assure le pilotage de...  ...IA du Groupe.  Le rôle du Data Scientist est de « faire parler les données...",
77,Data Scientist H/F,Inetum,,"...nous développons notre Practice Data et recrutons des profils Data de...  ...Data Analyst, Data Engineer, Data Scientist et Data Gouv. Les besoins métiers...",
78,Data Scientist H/F,Labsoft,,"...la Cellule Qualité du Fixe (CQF) de Bouygues Telecom, en tant que data scientist.  Vous aurez en charge de développer des modèles IA afin de définir...",
79,Data Scientist H/F,Mydral,,"...expertise sur la compréhension et l'automatisation des processus métiers, la data gouvernance, la business science, le reporting, le dashboarding, le data...",
80,Data scientist (F/H),RANDSTAD,,"...adaptées et sécurisées avec l'architecte logicielDe formation Bac+5 en Data ou Ingénierie de la donnée, vous avez une expérience probante sur un poste...",
81,DATA Scientist,Labsoft,,"...la Cellule Qualité du Fixe (CQF) de Bouygues Telecom, en tant que data scientist. Vous aurez en charge de développer des modèles IA afin de définir...",
82,Data scientist,CRIT INTERIM,22k € a 40k €/an,"...données et la solution demandée.Coacher la fonction dans l'état d'esprit data-driven.Contribuez activement et partagez les meilleures pratiques, les...",
83,Data Scientist H/F,Extia,,"...missions de conseil autour de sujets de Data Analytics et de Machine Learning,...  ...(minimum 1 an) en tant que Data Scientist ou Statisticien au sein d'une...",
84,Data Scientist H/F,Generali,,"DATA SCIENTIST - H/FRéférence : 8953CDI DUREE INDETERMINEEGeneraliAvec plus de 67 millions de clients et un chiffre d'affaires de 75,...",
85,Data Scientist H/F,Betclic Group,200 €/jour,"...ENTER THE GAMELe département Data existe depuis maintenant 5 ans chez...  ...rejoindrez une équipe de 5 Data Scientists pour créer et livrer des produits...",
86,Data Scientist H/F,Crédit Agricole CIB,,"...information :  Twitter : LinkedIn : Vous recherchez une alternance en data Science et vous avez un intérêt pour la finance ? Alors cette offre est...",
87,Data Scientist H/F,Ÿnsect,,"...Ynsect's new technologies and processes, taking part in the valorization of data from R&D and industrial sources and the definition of prediction models....",
88,Data scientist,SNEF,40k € a 45k €/an,"MISSIONVous intégrerez une équipe d'experts Data et Machine Learning spécialisée dans le cloud AWS.A ce titre, vous consacrerez une partie de votre...",
89,Data Scientist H/F,Linxo,,"...Environnement du poste  Afin de renforcer notre pôle Data, nous recrutons un Data Scientist. Travailler dans l’équipe Data chez Linxo, c’est avant tout...",
90,Data Scientist H/F,Somfy,,"...building its digital capabilities to create more value from digital and data, upgrading its businesses through leading-edge digital and data-driven use...",
91,Data Scientist H/F,Artefact,,"...consulting firm specialized in AI and Data. We are convinced that marketing...  ...data application engineers, data scientists, creatives and designers,...",
92,Data Scientist H/F,CNP Assurances,,"...le cadre de ses activités, le DataLab de CNP Assurances recrute un Data Scientist Junior.Le Datalab est composé d'une dizaine de Data Scientist centralisant...",
93,DATA SCIENTIST SCORE ET MODELISATION (F/H),BPCE SA,,"...-e au responsable de l'équipe modélisation, vous intervenez en tant que Data scentist score et modélisation, sur la gestion des risques de souscription...",
94,Data scientist F/H,Synergie Toulouse Tertiaire,,"Nous recherchons pour notre client, acteur majeur de l'industrie aéronautique, un(e) expert(e) en modélisation des données, dans le cadre d'une mission...",
95,Gaming Data Scientist,Northzone,,"Welcome to Homa, the gaming technology lab that is taking the industry by storm! Our team of over 200 people, hailing from more than 35 different countries...",
96,DATA SCIENTIST F/H,Cdiscount,,"...champ des possibles sans équivalenceVous rejoindrez une équipe de data scientists dynamique et passionnée. Les équipes data sont garantes de l’avance...",
97,Senior Data Scientist H/F,Leroy Merlin,,"...!Intégré(e) au sein du pôle data de Leroy Merlin France (LMFR), vous...  ...:En tant que Senior Data Scientist, vous intégrez une équipe ""Core""...",
98,Consultant Data Scientist H/F,CGI,,"Consultant Data Scientist H/FDescription de posteChez CGI Business Consulting, cabinet de conseil majeur en France, nous sommes audacieux par nature...",
99,Data Scientist Senior H/F,Onepoint,,Onepoint regroupe plus de 200 experts data sur toutes les dimensions (data...  ...et accompagnement de data scientists junior. Vous travaillerez étroitement...,
100,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…,Sfax
101,Statisticien(ne),Lekocom,,Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…,"Hammamet, Nabeul"
102,STAGE / CDI Customer Success Officer,Med Start Now,,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…,Tunis
103,Formatrice en informatique,CENTRE CPN,,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …,Sousse
104,Ingénieur Infrastructure - Tunis,NeoXam,,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…",Tunis
105,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,,Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…,"La Marsa, Tunis"
106,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,,Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …,"Béni Khalled, Nabeul"
107,Assistant commercial / Assistante commerciale,ESPACE MASSAR,,Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …,"Akouda, Sousse"
108,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,,Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…,"Hammam Sousse, Sousse"
109,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,,Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…,"La Marsa, Tunis"
110,Comptable,COMPTABILITE MAHER BAHI,,Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …,"Ksar Hellal, Monastir"
111,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…,Monastir
112,Responsable management de la qualité,STE LABORATOIRE MEDICKA,,Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…,"Béni Khalled, Nabeul"
113,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,,Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…,"Ezzahra, Ben Arous"
114,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,,Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…,"Hammamet, Nabeul"
115,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,,Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…,"Hammamet, Nabeul"
116,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,,Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …,"Téboulba, Monastir"
117,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,,Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…,"Hammamet, Nabeul"
118,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…,Sousse
119,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,,Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…,"Ras Jebel, Bizerte"
120,Data Scientist H/F,Mediapost,36k € a 43k €/an,"...norme ISO 27001 sur notre expertise Data, certification AFNOR au respect...  ...?Devenez assistant DATA SCIENTIST au sein de la Direction de la Performance...",
121,Data Scientist H/F,Enedis,400 €,"...différentes activités de l'agence- Vous mettez en place d'outils d'analyse des data collectées pour améliorer les modèles de maintenance, en créer de...",
122,Data Scientist H/F,Manutan,,"...commune des Technologies et de la DATA. Si vous aussi vous êtes...  ...Analytics, et souhaite intégrer un Data Scientist pour constituer son équipe Data Products...",
123,Assistant Data Scientist H/F,SNCF Connect & Tech,,...compétences sur les thématiques liées à la Data Science et leur intégration dans...  ...quotidiennement avec des Data Scientists et Data Engineers qui vous...,
124,Data Scientist H/F,Cdiscount,,"...possibles sans équivalenceLa Direction Data de Cdiscount réunit plusieurs...  ...actuellement plusieurs data scientists pour certaines de ces équipes :...",
125,Data Scientist H/F,Opsealog,,"...les services de conseil.Our company is seeking a highly motivated data scientist to join the team to enhance emission & consumption models for the...",
126,Data Scientist H/F,Efor Group,,"...YOUR PROFILE- Must-have :- PhD or Master in Computer science, Data science, Bioinformatics, Biostatistics or Computational Biology- At least...",
127,Data Scientist H/F,Orano,,"...dans d'autres industriesLes sujets sont pilotés par le Chef de projets Data Science OP en coordination avec le Référent IA OP.Industrie 4.0 -...",
128,Data Scientist H/F,Mega Service Consulting,,"...maintenance.Vos missions seront les suivantes :- Evaluer les solutions de data science : - Participer au comité de pilotage du projet - Participer...",
129,Data Scientist H/F,CGI Finance,,"...l'équipe Etudes & Stratégies, nous recherchons actuellement un(e) Data Scientist qui aura pour principales missions de :Créer, calibrer et backtester...",
130,Data Scientist H/F,Carrefour,,"...en Europe.L'utilisation de la data et le développement des capacités...  ...Financiers, etc.Les data scientists, data engineers, spécialistes data...",
131,Data Scientist H/F,Franfinance,,"...fintech), vous rejoignez le pôle Datascience et Risque en tant que Data Scientist risque.Vos missions :Au sein d'un service de 12 personnes,...",
132,Data Scientist H/F,Amiltone,,"...résolvant des problématiques business concrètes via les technologies liées à la Data Science (Data mining, Machine learning, Deep learning, etc.).A ce...",
133,Data Scientist H/F,ALD Automotive,,"ALD Automotive, filiale du Groupe Société Générale et acteur majeur de la Location Longue Durée de véhicules multimarques et de Fleet Management, est ...",
134,Data Scientist H/F,Fnac Darty,,"...rejoindre au sein de la Digital Factory FNAC DARTY.Nous recherchons un.e Data Scientist pour rejoindre le pôle Data de la Digital Factory. Les missions du...",
135,Data Scientist - Alternance H/F,Crédit Coopératif,,"...autrement.Poste et missionsVous souhaitez exercer le métier de Data Scientist autrement ? Venez le vivre au sein d'une banque plus juste, plus...",
136,Alternance - Data Scientist H/F,GROUPE GEMA - ESI BUSINESS SCHOOL / IA SCHOOL (Siège Nationa...,,"...entreprise partenaire, spécialisée dans le secteur de la Cosmétique, un(e) Data Scientist en contrat d'apprentissage, niveau Master pour préparer l'une de...",
137,Alternance - Data Scientist H/F,Verisure,,"...permanente de nouveaux talents, nous avons besoin de VOUS en qualité de Data Scientist ! Décrochez alors votre alternance en rejoignant dès cet été notre...",
138,Data Scientist H/F,Amiltone,,"...chez l'un de nos clients ou notre Factory, vous interviendrez, en tant que Data Ingénieur Talend, sur les missions suivantes :- - Réceptionner et...",
139,Alternance - Data Scientist H/F,Naval Group,,"Naval Group compte parmi les acteurs internationaux du naval de défense. Depuis plus de 400 ans, nous repoussons sans cesse les limites pour construire...",
140,Data Scientist . H/F,Ausy France,,"...l'information, infrastructure et Data.Envie de booster votre carrière...  ...cherchons notre futur(e) Data Scientist (H/F) pour rejoindre son équipe dans...",
141,Alternance - Data Scientist H/F,BNP Paribas,,"...tracer son parcours professionnel en France ou à l'international ! Data scientist - H/F - Alternance 12 mois.Ce poste basé à MERIGNAC est à...",
142,Data Scientist Sénior H/F,Segula Technologies,,"Segula Technologies est un groupe d'ingénierie présent mondialement, au service de la compétitivité de tous les grands secteurs industriels : automobile...",
143,Data Scientist - Statisticien H/F,Crédit Agricole Centre-Est,35k € a 50k €/an,"...développement.""Le Crédit Agricole Centre Est recrute en CDD (12 mois) un Data Scientist/statisticien pour son pôle spécialisé ""Utilisateurs Crédit""Le...",
144,Data Scientist Alternance H/F,Data ScienceTech Institute,,"Data ScienceTech Institute (DSTI) a été créé avec une ambition principale...  ...Analyst, Data Engineer et Data Scientist opérationnels, en offrant les programmes...",
145,Alternant Data Scientist H/F,FACTOFRANCE SAS,18k € a 23k €/an,"...""Gouvernance et Valorisation de la donnée"" recherche un alternant Data Scientist pour étoffer son équipe d'analystes et répondre aux besoins d'analyses...",
146,Alternance - Data Scientist H/F,BPCE SA,,"...stratégiques du Groupe.Poste et missionsRejoignez BPCE en tant que Data Scientist pour une alternance à partir de Septembre 2023 !Les missions c'...",
